order_id,customer_id,product_id,order_ts,quantity,amount,order_status,region,sales_channel,_load_ts
O1001,C001,P001,2026-09-01 09:15:00,1,75000,PAID,Mumbai,ONLINE,2026-09-01 09:20:00
O1002,C002,P002,2026-09-01 10:30:00,2,1200,PAID,Pune,ONLINE,2026-09-01 10:35:00
O1002,C002,P002,2026-09-01 10:30:00,2,1300,PAID,Pune,ONLINE,2026-09-02 08:00:00
O1003,C003,P003,2026-09-01 11:00:00,1,8500,PAID,Delhi,STORE,2026-09-01 11:05:00
O1004,C004,P004,2026-09-02 12:00:00,3,2500,PAID,Bengaluru,ONLINE,2026-09-02 12:05:00
O1005,C999,P002,2026-09-02 13:00:00,1,1200,PAID,Mumbai,ONLINE,2026-09-02 13:05:00
O1006,C005,P003,2026-09-02 14:00:00,1,-8500,PAID,Mumbai,STORE,2026-09-02 14:05:00
O1007,C006,P006,2026-09-02 15:00:00,1,abc,PAID,Kolkata,ONLINE,2026-09-02 15:05:00
O1008,C001,P005,INVALID_DATE,1,18000,PAID,Mumbai,ONLINE,2026-09-02 16:00:00
O1009,C007,P002,2026-09-03 09:00:00,,1200,PAID,Mumbai,ONLINE,2026-09-03 09:05:00
O1010,C003,P004,2026-09-03 10:00:00,2,2500,CANCELLED,Delhi,ONLINE,2026-09-03 10:05:00
